"x1","x2","x3","x4"
"A",5,1.1576216439898,1
"B",2,1.31901140050461,2
"C",3,0.373333855925769,0
"D",2,0.965659596470958,2
"E",0,0.856344207504887,5
"F",2,0.522556413374507,4
"G",4,1.14567469480889,3
"H",2,1.14466498063531,1
"I",3,1.13878574804543,3
"J",1,1.07589461067571,3
"K",0,0.936169277784489,2
"L",4,1.13061969537275,7
"M",4,1.2393016809574,1
"N",1,0.263386279975021,4
"O",3,2.0872222398167,1
"P",5,1.07649775618292,5
"Q",1,0.479481573888672,1
"R",0,-0.245286920518047,2
"S",2,0.623457041888264,1
"T",0,1.56010351266694,2
